City,State,Zip,Country,County,FIPS
Lexington,KY,40514,US,Fayette,
Georgetown,KY,40324,US,Scott,
fayetteville,NC,28304,US,Cumberland,
Fort Wayne,IN,46825,US,Allen,
Middletown,RI,02842,US,Newport,
Versailles,KY,40383,US,Woodford,
Milwaukee,WI,53202,US,Milwaukee,
Lexington,KY,40502,US,Fayette,
Lexington,KY,40508,US,Fayette,
Lexington,KY,40508,US,Fayette,
Richmond,KY,40475,US,Madison,
Lexington,KY,40515,US,Fayette,
Versailles,KY,40383,US,Woodford,
Georgetown,KY,40324,US,Scott,
Surprise,AZ,85388,US,Maricopa,
Rochester,NY,14615,US,Monroe,
Littleton,CO,80123,US,Jefferson,
Brisbane,QLD,4103,AU,,AS04
Pittsburgh,PA,15217,US,Allegheny,
Lexington,KY,40503,US,Fayette,
Somers Point,NJ,08244,US,Atlantic,
Nevada city,CA,95959,US,,
Lexington,KY,40503,US,Fayette,
Lakewood,CO,80227,US,Jefferson,
Minneapolis,MN,55415,US,Hennepin,
Graford,TX,76449,US,Palo Pinto,
Lexington,KY,40502,US,Fayette,
Philadelphia,PA,19130,US,Philadelphia,
Oak Hill,VA,20171,US,Fairfax,
Lexington,KY,40504,US,Fayette,
Lexington,KY,40502,US,Fayette,
Lexington,VA,24450,US,Lexington City,
Fort Collins,CO,80525,US,Larimer,
PHILADELPHIA,PA,19122,US,Philadelphia,
Woodland Hills,CA,91364,US,Los Angeles,
Karachi,,123456,PK,Schenectady,PK05
Brooklyn,NY,11230,US,,
LEXINGTON,KY,40509,US,Fayette,
Chicago,IL,60622,US,Cook,
Topeka,KS,66614,US,Shawnee,
Denver,CO,80212,US,Denver,
AUSTIN,TX,78723,US,Travis,
Abu Dhabi,,na,AE,,AE01
Lexington,KY,40503,US,Fayette,
Silver Spring,MD,20910,US,Montgomery,
Brookline,MA,02445,US,Norfolk,
Arlington,VA,22201,US,Arlington,
Lexington,KY,40514,US,Fayette,
Camarillo,CA,93012,US,Ventura,
Selma,CA,93662,US,Fresno,
Lexington,KY,40503,US,Fayette,
Gadsden,AL,35901,US,Etowah,
Brick,NJ,08724,US,Ocean,
Lexington,KY,40515,US,Fayette,
Versailles,KY,40383,US,Woodford,
Cohoes,NY,12047,US,Albany,
Athens,GA,30605,US,Clarke,
Seattle,WA,98122,US,King,
Eden Prairie,MN,55347,US,Hennepin,
Hixson,TN,37343,US,Hamilton,
Centennial,CO,80122,US,Arapahoe,
St catharines,ON,L2N4C3,CA,,CA08
Riverview,FL,33569,US,Hillsborough,
Rock Springs,WY,82901,US,Sweetwater,
Madisonville,KY,42431,US,Hopkins,
Moncks Corner,SC,29461,US,Berkeley,
Madison,AL,35758,US,Madison,
Hayes,VA,23072,US,Gloucester,
Hyde Park,NY,12538,US,Dutchess,
Brooklyn,NY,11238,US,Kings,
Frankfort,KY,40601,US,Franklin,
Lexington,KY,40504,US,Fayette,
Hamilton,NY,13346,US,Madison,
Loveland,OH,45140,US,Clermont,
Lexington,KY,40502,US,Fayette,
Lansing,NY,14882,US,Tompkins,
Winona,MN,55987,US,Winona,
Elk Grove,CA,95758,US,Sacramento,
Lexington,KY,40504,US,Fayette,
Louisville,KY,40206,US,Jefferson,
Lexington,KY,40503,US,Fayette,
Park Hills,KY,41011,US,Kenton,
Columbia,SC,29205,US,Richland,
Lexington,KY,40502,US,Fayette,
Frankfort,KY,40601,US,Franklin,
Lexington,KY,40504,US,Fayette,
Fort Myers,FL,33919,US,Lee,
Warm Springs,VA,24484,US,Bath,
Richmond,CA,94804,US,Contra Costa,
Dutch Harbor,AK,99692,US,Aleutians West,
Slidell,LA,70458,US,Saint Tammany,
"Willemstad, Curaçao",,5999,AN,,??
Lexington,KY,40513,US,Fayette,
Lexington,KY,40505,US,Fayette,
Baton Rouge,LA,70808,US,East Baton Rouge,
Lexington,KY,40503,US,Fayette,
Richmond,KY,40475,US,Madison,
Brooklyn,NY,11215,US,Kings,
Orangebury,NY,10962,US,Rockland,
Versailles,KY,40383,US,Woodford,
Lexington,KY,40515,US,Fayette,
Champaign,IL,61821,US,Champaign,
Lexington,KY,40517,US,Fayette,
Louisville,KY,40204,US,Jefferson,
Aurora,IL,60502,US,DuPage,
Versailles,KY,40383,US,Woodford,
Indianapolis,IN,46237,US,Marion,
Austin,TX,78746,US,Travis,
Georgetown,KY,40324,US,Scott,
Lexington,KY,40517,US,Fayette,
Robinson,IL,62454,US,Crawford,
San Pedro,CA,90732,US,Los Angeles,
Lexington,KY,40508,US,Fayette,
Atlanta,GA,30324,US,Fulton,
Springfield,IL,62704,US,Sangamon,
West Hartford,CT,06119,US,Hartford,
johnson city,TN,37601,US,Washington,
League City,TX,77573,US,Galveston,
Round Lake Park,IL,60073,US,Lake,
Miami,FL,33180,US,Miami-Dade,
Charles Town,WV,25414,US,Jefferson,
Yuma,AZ,85365,US,Yuma,
Lexington,WA,40507,US,Fayette,
Lexington,KY,40504,US,Fayette,
Nicholasville,KY,40356,US,Jessamine,
Lexington,KY,40502,US,Fayette,
Collingswood,NJ,08108,US,Camden,
Lexington,KY,40502,US,Fayette,
Lexington,KY,40502,US,Fayette,
Pittsburgh,PA,15215,US,Allegheny,
Lexington,KY,40503,US,Fayette,
Lexington,KY,40515,US,Fayette,
Lexington,KY,40511,US,Fayette,
Louisville,KY,40213,US,Jefferson,
Lexington,KY,40502,US,Fayette,
Sacramento,CA,95835,US,Sacramento,
Lexington,KY,40513,US,Fayette,
Modesto,CA,95355,US,Stanislaus,
Morehead,KY,40351,US,Rowan,
Kentwood,MI,49508,US,Kent,
Boston,MA,02122,US,Suffolk,
Midway,KY,40347,US,Woodford,
McKee,KY,40447,US,Jackson,
Hamden,CT,06514,US,New Haven,
Lexington,KY,40502,US,Fayette,
Raleigh,NC,27604,US,Wake,
Richmond,KY,40475,US,Madison,
Mount Pleasant,SC,29464,US,Charleston,
Lexington,KY,40504,US,Fayette,
Pineville,LA,71360,US,Rapides,
Paris,KY,40361,US,Bourbon,
Temple City,CA,91780,US,Los Angeles,
Huntington,NY,11743,US,Suffolk,
Lexington,KY,40503,US,Fayette,
Woodbury,MN,55125,US,Washington,
Florence,KY,41042,US,Boone,
Phoenix,AZ,85028,US,Maricopa,
Redlands,CA,92373,US,San Bernardino,
CHICAGO,IL,60626,US,Cook,
LEXINGTON,KY,40502,US,Fayette,
Lexington,KY,40504,US,Fayette,
Richmond,KY,40475,US,Madison,
Lexington,KY,40503,US,Fayette,
Boulder,CO,80304,US,Boulder,
Glen Allen,VA,23060,US,Henrico,
Lexington,KY,40509,US,Fayette,
Kevil,KY,42053,US,McCracken,
Lexington,KY,40515,US,Fayette,
Lexington,KY,40504,US,Fayette,
Lexington,KY,40505,US,Fayette,
Muscoda,WI,53573,US,Grant,
Lexington,KY,40505,US,Fayette,
Lexington,KY,40502,US,Fayette,
West Kelowna,BC,V4T1B9,CA,,CA02
Lexington,KY,40508,US,Fayette,
Bowling Green,KY,42102,US,Warren,
Frankfort,KY,40601,US,Franklin,
Wilmore,KY,40390,US,Jessamine,
Jeremie,,HT7120,HT,,HA14
Beijing,10,100102,CN,New York,CH22
Carlisle,PA,17015,US,Cumberland,
