"SOV_A3","ADMIN","GU_A3","X","Y"
"IDN","Indonesia","IDN",117.2711180200,-2.2231771005
"MYS","Malaysia","MYS",109.6990961600,3.7924384849
"CHL","Chile","CHL",-71.3650466920,-37.7485403070
"BOL","Bolivia","BOL",-64.6847427870,-16.7068735240
"PER","Peru","PER",-74.3780568460,-9.1543298281
"ARG","Argentina","ARG",-65.1781925850,-35.3877465160
"GB1","Dhekelia Sovereign Base Area","ESB",33.7930741350,35.0178375000
"CYP","Cyprus","CYP",32.9901457040,34.9152383640
"IND","India","IND",79.6159151330,22.8878995490
"CH1","China","CHN",103.8317658600,36.5600379920
"IS1","Israel","ISR",34.9960820930,31.4440836110
"IS1","Palestine","PSX",35.1976832810,31.9159954660
"LBN","Lebanon","LBN",35.8799332530,33.9203393860
"ETH","Ethiopia","ETH",39.6005613800,8.6229607448
"SDS","South Sudan","SDS",30.3011385860,7.2835532000
"SOM","Somalia","SOM",45.7061980110,4.7488976199
"KEN","Kenya","KEN",37.8479036900,0.5575488191
"PAK","Pakistan","PAK",69.3413209900,29.9484827080
"MWI","Malawi","MWI",34.2514856660,-13.5300062590
"TZA","United Republic of Tanzania","TZA",34.9731803150,-6.4476005839
"SYR","Syria","SYR",38.5045560040,35.0230164670
"SOL","Somaliland","SOL",46.2547803120,9.7310396627
"FR1","France","FRA",-2.7558341887,42.1793927380
"SUR","Suriname","SUR",-55.9110675280,4.1312456021
"GUY","Guyana","GUY",-58.9801069530,4.7934891599
"KOR","South Korea","KOR",127.8187487800,36.3730118830
"PRK","North Korea","PRK",127.1837272100,40.1505964050
"MAR","Morocco","MAR",-8.3965064620,29.8416100150
"SAH","Western Sahara","SAH",-12.2151160000,24.2324992420
"CRI","Costa Rica","CRI",-84.1935998630,9.9732076944
"NIC","Nicaragua","NIC",-85.0332991360,12.8454196660
"COG","Republic of the Congo","COG",15.2182684900,-0.8388887539
"COD","Democratic Republic of the Congo","COD",23.6031936540,-2.8646872465
"BTN","Bhutan","BTN",90.4044773860,27.4217527330
"UKR","Ukraine","UKR",31.2553001280,49.1600043070
"BLR","Belarus","BLR",28.0335678120,53.5318688310
"NAM","Namibia","NAM",17.2111967350,-22.1292076290
"ZAF","South Africa","ZAF",25.0873659160,-29.0010344210
"FR1","Saint Martin","MAF",-63.0551495770,18.0776088270
"NL1","Sint Maarten","SXM",-63.0701168640,18.0406277600
"OMN","Oman","OMN",56.0926675420,20.6018939760
"UZB","Uzbekistan","UZB",63.2150173500,41.6990145900
"KAZ","Kazakhstan","KAZ",67.2709240840,48.1811016390
"TJK","Tajikistan","TJK",71.0157732010,38.5299569890
"LTU","Lithuania","LTU",23.8882331070,55.3270136900
"BRA","Brazil","BRA",-53.0924547490,-10.7808269660
"URY","Uruguay","URY",-56.0171547670,-32.7982042300
"MNG","Mongolia","MNG",103.0563175800,46.8258247790
"RUS","Russia","RUS",96.6757062840,61.9807125800
"CZE","Czechia","CZE",15.3141311860,49.7324666920
"DEU","Germany","DEU",10.3815094240,51.1064971550
"EST","Estonia","EST",25.5354104850,58.6710158270
"LVA","Latvia","LVA",24.9085581060,56.8518189900
"NOR","Norway","NOR",15.4099533660,68.7948699920
"SWE","Sweden","SWE",16.7545713350,62.7769149250
"FI1","Finland","FIN",26.2705841800,64.4952664770
"VNM","Vietnam","VNM",106.3009803500,16.6419544250
"KHM","Cambodia","KHM",104.9027927400,12.7155208200
"LUX","Luxembourg","LUX",6.0717647834,49.7668264810
"ARE","United Arab Emirates","ARE",54.3007956000,23.9058988220
"BEL","Belgium","BEL",4.6399658615,50.6374573470
"GEO","Georgia","GEO",43.5075092970,42.1688105340
"MKD","Macedonia","MKD",21.6838288910,41.5950036840
"ALB","Albania","ALB",20.0537910150,41.1424633730
"AZE","Azerbaijan","AZE",47.5420255100,40.2890781710
"KOS","Kosovo","KOS",20.8737440760,42.5728787360
"TUR","Turkey","TUR",35.1670047830,39.0610786430
"ESP","Spain","ESP",-3.6528217096,40.2270467700
"LAO","Laos","LAO",103.7378912600,18.5022737850
"KGZ","Kyrgyzstan","KGZ",74.5414950570,41.4618595750
"ARM","Armenia","ARM",44.9323926740,40.2880948670
"DN1","Denmark","DNK",10.0516961650,55.9652813900
"LBY","Libya","LBY",18.0096048670,27.0302879030
"TUN","Tunisia","TUN",9.5546832019,34.1194321150
"ROU","Romania","ROU",24.9729846430,45.8534422420
"HUN","Hungary","HUN",19.3967386150,47.1632574720
"SVK","Slovakia","SVK",19.4804295950,48.7049427610
"POL","Poland","POL",19.3942888610,52.1247653990
"IRL","Ireland","IRL",-8.1453263330,53.1782937940
"GB1","United Kingdom","GBR",-2.8874878172,54.1476985490
"GRC","Greece","GRC",22.9755151520,39.0505961280
"ZMB","Zambia","ZMB",27.7664159100,-13.4729910660
"SLE","Sierra Leone","SLE",-11.7950932910,8.5630393383
"GIN","Guinea","GIN",-10.9431133680,10.4346096460
