"ZCTA5CE10","AFFGEOID10","GEOID10","ALAND10","AWATER10","X","Y"
"35442","8600000US35442","35442","610213891","10838694",-88.1935912300,33.0737054510
"85365","8600000US85365","85365","-2147483648","9766486",-114.1504225600,33.0787288410
"71973","8600000US71973","71973","204670474","1264709",-94.3171930850,34.2996096820
"95445","8600000US95445","95445","221559097","7363179",-123.4957329300,38.8329562160
"06870","8600000US06870","06870","5945321","3841130",-73.5696969290,41.0290807790
"19964","8600000US19964","19964","24601672","124382",-75.7232904280,39.0906659290
"32233","8600000US32233","32233","26427514","8163517",-81.4211086350,30.3584989220
"90401","8600000US90401","90401","2199165","439378",-118.4925493600,34.0154645270
"30817","8600000US30817","30817","498860155","105853904",-82.4359557600,33.7738126360
"30458","8600000US30458","30458","378422575","12351325",-81.8255840710,32.3986527970
"83285","8600000US83285","83285","821212712","46478529",-111.2872854000,43.0983576180
"83467","8600000US83467","83467","1962840685","5640216",-113.8991906300,45.0096834330
"83501","8600000US83501","83501","699561258","14347568",-116.8962978400,46.2069150710
"83452","8600000US83452","83452","342999588","1202320",-111.2195906300,43.8366497420
"89832","8600000US89832","89832","343449017","2734214",-116.1657531800,41.9865211250
"60034","8600000US60034","60034","67280214","0",-88.4194490930,42.4562083820
"95370","8600000US95370","95370","267223040","12588013",-120.3488368800,37.9845999770
"70643","8600000US70643","70643","876305879","322701684",-92.7896785840,29.7920934640
"47982","8600000US47982","47982","360426","0",-87.5270565220,40.1973262910
"71263","8600000US71263","71263","537098319","1291791",-91.4256480610,32.8689207540
"04605","8600000US04605","04605","736875863","124235227",-68.4171258320,44.6748322630
"46738","8600000US46738","46738","67610229","224605",-85.1368645640,41.3217355630
"60402","8600000US60402","60402","13646766","144650",-87.7913915940,41.8346890150
"04945","8600000US04945","04945","-2147483648","81471733",-70.2339271230,45.7629472390
"66412","8600000US66412","66412","125977765","297949",-96.7791237840,39.9119119440
"49707","8600000US49707","49707","559605896","108222456",-83.4964673310,45.0915965580
"39096","8600000US39096","39096","510750082","22592570",-91.1157223650,31.8254830340
"52501","8600000US52501","52501","584488181","6902331",-92.4315051550,41.0357408020
"64498","8600000US64498","64498","193703957","0",-95.3219604710,40.5395755810
"59842","8600000US59842","59842","331776653","291591",-115.4178355500,47.3537197480
"59522","8600000US59522","59522","-2147483648","9368264",-111.0032407300,48.5416496320
"01535","8600000US01535","01535","55084355","1754940",-72.0779474510,42.2695008680
"89040","8600000US89040","89040","1351280600","251749842",-114.5386021200,36.3580858700
"71068","8600000US71068","71068","372596393","17691583",-93.3218247140,32.2836793680
"48006","8600000US48006","48006","185042707","967838",-82.6964745050,43.0753939960
